mots,valeur
acharne,1
antisemit,1
attouche,1
atouche,1
grossopho,1
harc,0.75
homophob,1
transpho,1
islamophobe,1
misog,1
nazi,1
negro,1
pute,1
racis,1
sevice,1
salope,1
abus,1
tactil,1
jupe,1
cuisse,1
denig,0.5
diffamation,0.5
forcee,0.5
forcer,0.5
lesb,0.5
nue,1
odieux,0.5
proie,0.5
religion,0.75
stigmatis,0.5
victime,0.5
vulnerab,0.5
cauchemar,0.75
consenti,0.75
consentement,0.75
crim,0.75
cruaute,0.75
devet,0.75
discrimin,0.75
esclav,0.75
haine,0.75
insecurite,0.75
insult,0.75
machist,0.75
maltrait,0.75
massacre,0.75
menac,0.75
nepotism,0.75
persecution,0.75
rabais,0.75
race,0.75
radie,0.75
sanglot,0.75
sexe,0.75
supplice,0.75
torture,0.75
violam,0.75
violem,0.75
violen,0.75
indecan,0.75
indessan,0.75
indecen,0.75
indessen,0.75
garcon,0.75
fille,1
inhumain,1
salace,0.75
grossier,0.5
sexuel,0.5
desumani,0.25
deshumani,0.25
sexy,0.5
chien,0.75
graveleu,0.75
humili,1
gambette,1
gambettes,1
signalement,0.75
fifille,1
chatte,1
scandaleux,0.5
illicite,0.75
pervers,1
